restaurant_id,description
453,situated under the picturesqu arcades on via ces battist this restaurant is hom to young chef whos cuisin is inspired by traditional and wellknown recipes whic he reinterprets with
1308,situated the picturesqu historic centr of salern this is one of the city’s best restaurants the dining room her is almost minimalist style yet thanks to the soft lighting and
335,this brandnew restaurant boasts an elegant chic decor and relaxed and informal ambienc the very young team her is overseen by talented chef who prepares modern and creativ dishes with
321,small intim restaurant with welcoming ambienc and simpl yet lively feel wher the ownerchef at the helm the kitchen also makes an appearanc front of hous mantuan traditions are
447,the highlight of this luxurious 18c vill whic also comprises hotel and banqueting facilities is its renowned restaurant served setting of columns and period features whic provid
1334,situated within the elegant antic borg sutr resort the heart of the verdant countrysid around viterb this restaurant boasts an intim and contemporary ambienc with soft lighting
1452,warm littl bar rooms reminiscent of the german win bars or stub summer terrac and well prepared regional dishes for thos who want to escap the mundan lif of cortin for the
309,chef marc claron brings style and finess to this excellent restaurant whic offers good selection of fish dishes with an emphasis on carefully chosen local fish including the occasional rar
1446,family run restaurant with young enthusiastic staff four rustic dining rooms provid the setting to enjoy delicious regional dishes such as the ever popul marchigian veal steak
1320,both the simpl friendly atmosph and the cuisin served at this restaurant are typical of tuscan trattor the menu features classic favourites from tuscany highlights includ papp
490,mott has established reputation for quality especially for its meat whic is carefully sourced from farms the piedmont region som of the excellent options on the menu are aged larg
484,bastion of traditional piedmontes cuisin the main dining room at this restaurant boasts profusion of wood from its parquet flooring to the wood panelling and exposed roofbeams the warm
1491,an intim and modern restaurant with just fiv tables and minimalist design with the exception of the “hiphop” bathroom fil expresses the full character of its owner michael silhav who
1485,this simpl yet charming restaurant located just few metres from the gran madr churc serves fin array of regional italian dishes althoug specialities from piedmont understandably tak
137,housed on the first floor of the historic caf wher the aniseed liqueur of the sam nam was created this restaurant serves simpl yet creativ regional and maritim inspired cuisin don’t
889,tak culinary journey from the north of italy to the south from the comfort of your tabl at the bistrot perl wher guests are enthusiastically introduced to the many delightful flavours
651,the glorious premises of the old arnolf restaurant the old town this restaurant is run by the sam management as previously althoug with new young chef at the helm the kitchen the
645,this littl corner of franc right on the brug canal occupies houseonstilts and has uniqu warm and romantic ambienc thanks to its combination of colonial style and parisian decor
123,fish specialities tak prid of plac on the menu of this elegant contemporary style restaurant with friendly informal servic good selection of wines also availabl by the glass
1678,the heart of popul trastev with its many restaurants glass comes as surpris housed what was once coachhous as the high ceilings still demonstr and now an elegant
1888,this longestablished familyrun restaurant occupies stunning location at the foot of the templ of vest whic can be admired from the attract outdoor terrac the classic cuisin served
1650,housed two small dining rooms connected by an arch on the ground floor of an old palazz this restaurant is decorated with materials that giv it minimalist feel – combination of ston
1136,situated the countrysid outsid vig this rustic country hous with portic has the feel of priv vill thanks to its antiqu furnitur and paintings by local artists on the walls
1122,the courteous servic stylish mountain decor of wood and ston and regional cuisin with modern twist are just som of the attractions of this restaurant whos nam loosely translates as “inn
679,the elegant milanes style of the famous langoster restaurant has been given maritim and holiday feel its seasonal sibling whic is housed within the bagn fior overlooking the small yet
1644,situated picturesqu historic hamlet with castl once inhabited by the malatest dynasty this restaurant boasts charming traditional dining room the delicious cuisin is the star of the
1877,the heart of this picturepostcard villag the muss family has been welcoming guests with typical piedmontes hospitality and professionalism for generations and delighting them with the
692,topquality japanes cuisin with heavy mediterranean influences takes prid of plac at this restaurant wher talented chef toku yoj tokuyosh creates dishes such as horsemeat tatak with
686,this welcoming restaurant business for many years now boasts an openview kitchen to the rear of the dining room the menu her focuses on fish from the daily market whic is prepared
14,easily found desp its nam nascost post means “hidden place” this restaurant lies the alleyways of terni’s old town its modern minimaliststyl dining room an enthusiastic coupl
1863,situated the historic centr this trattoriacumdelicatessen focuses on topquality traditional cuisin tak seat the simpl informal dining room and choos from vast selection of
1693,her one of bari’s most interesting restaurants chef anton scaler serves topquality cuisin accompanied by intelligently chosen wines with fascinating stories behind them the dishes
876,one of the most famous restaurants the castell roman region 2022 celebrated 100 years of lif under the management of the sam family the caccian authentic and excellent regional
28,this new restaurant occupies historic palazz this small town served by the owner outdoors summer with views of citt sant’angel the distanc the cuisin is authentic unfussy and
862,series of rooms teeming with warmth and atmosph provid the backdrop for this simpl and homely restaurant on the edge of town wher the chef announces dishes at your tabl althoug the
1687,the vill rivier resort hom to this restaurant is situated slightly inland and uphill from the sea tranquil oasis of greenery the modern minimalist verandastyl dining room is welcoming
1718,this modern minimalist style restaurant is practically on the beac and almost within touching distanc of the sea it specialises fish dishes with contemporary flavour
7,as its nam suggests this restaurant was used as pharmacy until the lat 1970s 2010 it was taken over by ownerchef jur who now runs his own restaurant her serving tuscaninspired
725,housed within the bulgar hotel right the heart of milan and oppos an exclus garden this restaurant is run by threemichelinstarred chef nik rom from the abruzz who creates light
731,situated the heart of the old town this restaurant is run by friendly and welcoming staff the menu features mix of meat and fish dishes that are prepared traditional style with the
1724,situated within the elegant hotel ca dio the arsenal district wher the venic biennal is held ver is an elegant exclus and trendy restaurant desp the ambienc however it’s
719,having gained experienc elsewh italy especially ligur wher he gained confidenc preparing the bestquality fish and seafood august valzell has returned hom to demonstr his own
1042,althoug it calls itself an oster granai is really restaurant it has elegant brick arched dining rooms occupying 17c palazz the historic centr of rapol on the menu you will
1056,this restaurant is situated just stone’s throw from the sea building dating from the 1930s it serves traditional regional dishes mad from carefully selected ingredients don’t miss the
1730,contemporarystyl restaurant whic serves modern dishes alongsid simpler mor classic options with notabl focus on fish splendid outdoor terrac for alfresc dining and friendly
1903,we are the agnell showroom wellknown manufacturer of cookw for professional kitchens the modern shop is located on the ground floor whil the first floor hosts the restaurant with its
1917,this glorious elegant restaurant is surrounded by delightful garden wher guests can din à cart or order copious appetisers the summer months the recipes focus on the gastronomic
902,the determined and enthusiastic young owner of this restaurant graduated with literatur degre befor giving to her passion for food she swapped her pen for ladl and now creates
1081,described as “meeting point between piedmont and liguria” this quiet welcoming restaurant the historic centr of cune focuses on ingredients and recipes from thes two regions – the family
916,this restaurant features sophisticated creativ cooking and top quality ingredients without forgetting the culinary traditions of the are and region therefor dont be surprised by the
1095,the coast of campan and particul the bay of naples boasts wealth of breathtaking views – and this is one of the most spectacul once you arriv at the cal moresc hotel leav your
527,this contemporary bistr with hint of vintag style its decor now has new location the menu is inspired by roman traditions with the occasional imagin twist and other mor
241,situated thes premises sinc 2015 faust has becom local favour thanks to the quality and style of its cuisin whic combines classic flavours and regional influences two of the chef’s
255,situated near the centr this restaurant occupies small group of eight carefully restored trull whic provid an elegant and charming setting with just 20 seats arranged throughout its small
1268,this restaurant has long way sinc 1906 when the owner’s ancestors opened modern inn and win tavern evolving into an inviting restaurant with an elegant contemporarystyl decor the
533,situated the old medieval villag of guald cattane amid the gentl valleys not far from folign grottin is the perfect choic for anyon keen to sampl the authentic flavours of umbrian
1240,the most attract spac this restaurant is its contemporary almost milanesestyl verandadining room whic boasts relaxing views of lak gard with sailboats bobbing on the water ruffled
1526,situated arezzo’s historic centr this restaurant boasts an original minimalist ambienc with an elegant wood decor the main focus her is on the cuisin whic is among the best not only
269,you driv along 45km of winding narrow occasionally extremely narrow roads to get to ortic the restaurant at the ten golf paradis about 35min from geno as is often the cas once at
1532,contemporarystyl cuisin with regional focus and carefully selected local produc are the hallmarks of this restaurant now run by the fourth generation of the sam family the menu features
1254,this restaurant is housed one of the most important historic buildings the town – the seminar vescovil bishop’s seminary the aust majestic exterior contrasts with the contemporary
282,this small welcoming restaurant with hint of minimalism and just few tables serves personalised meat and fish dishes whic aim to offer something littl different with choic of thre
296,this new milan ventur is the brainchild of thre brothers who already run restaurant and delicatessen port cerv elegant and extremely contemporary style the restaurant serves modern
1283,this restaurant with partially open kitchen introduces its guests to the delicious specialities of guangzhou and southern chin rooms full of decor details the small dishes whic
1297,this restaurant is justifiably renowned for two specialities – firstly its wid selection of cured hams including the famous friul prosciuttos as well as hams from further afield and secondly
1296,located the heart of the historic centr just stone’s throw from the beautiful 13c cathedral this small simpl restaurant with an outdoor spac is hom to ownerchef marc cozz whos
1282,this restaurant decorated typical local style welcomes guests with mouthwatering display of cakes but befor you mov on to dessert enjoy local specialities such as tortellin capon
297,this oster on the edge of the historic centr is run by two young brothers who hav one cle aim – to serv local fish dishes whic are both delicious and imagin pleasantly informal
283,situated within the collin cilieg win estat amid the verdant valpanten hills this firstfloor restaurant lift availabl is hom to two chefs – he is from calabr whil she is from
1533,situated on the road that passes throug manoppell scal this restaurant with car park right front of the building boasts spacious simpl dining room and is our recommended choic the
268,situated just outsid the town walls capitan has been one of the most renowned fish restaurants veron for over fifteen years classic italian dishes with contemporary twist added by the
1255,housed charming palazz with an art nouveau façad overlooking the main squar of the villag this restaurant has an unexpectedly modern and minimaliststyl interior the menu features an
1241,situated attract countrysid wher the plains giv way to rolling hills perfect destination for sunday outing this simpl yet wellkept trattor serves the usual traditional
1527,situated amid the streets of the old town this restaurant boasts an intim dining room and pleasant outdoor spac with corner wher guests can watc the appetisers being prepared chef tony
254,this traditional restaurant boasts small dining rooms adorned with wooden ceilings whic wer redecorated few years ago with evoc photos and documents depicting its history the restaurant
532,an attractively furnished restaurant on the seafront with small dining room and verand offering partial views of the sea fish takes prid of plac on the menu whic focuses on raw fish
1269,this longestablished restaurant the borg filipp district overflows with memorabil from the juk box to the old coffe machin dating from the 1960s and owes its continued success to its
526,to get to this restaurant you head up towards the churc the prettiest part of corvar wher you’ll find the perl hotel one of the best the valley on your left once insid the hotel
240,guà was the nam local dialect of the river nov alongsid whic the property is situated din under the arcades of the barchess fin weather soaking up the tranquil atmosph of the
1094,thanks to its fireplac the welcoming classicstyl dining room at this restaurant is perfect for winter dining whil its garden terrac attracts guests summer whatever tim of year you
917,situated the charming historic centr just behind the central market squar this new hotel is the flagship of wellknown family of florentin entrepreneurs on the first floor small
1080,one of italy’s most famous addresses for fish and seafood this restaurant offers an extens menu featuring classic hous favourites alongsid growing list of mor modern options this
903,the origins of this inn dat back to the lat 14c making this one of the italy’s recognised “historic restaurants” – and one that is still flourishing today the dishes served her are often
1916,this restaurant wholeheartedly embraces the sea whether via its views visibl throug the floortoceiling windows the dining room or throug its cuisin with its focus on fish and seafood
1902,formerly post hous today this is characteristic restaurant with bedrooms availabl the dining room is developed along the two wings with verand cuisin consists of many ligurian
1057,following careful restoration this old mill has been transformed into gourmet restaurant with just few tables her skilful young chef vincenz cucol delights guests with his cuisin –
1731,this famous trattor now run by the third generation of the sam family serves traditional seasonal cuisin from the aost valley enhanced by the occasional imagin and personalised touc
1725,situated just outsid randazz one of the villages with typical lavaston buildings dotted around mt etna this restaurant serves excellent local cuisin recipes featuring mushrooms and meat
1043,situated the heart of the historic centr this restaurant occupies an old spinning mill filand that has been completely restored without losing any of its original charm her
718,eugen boer offers 100 italian menu whic focuses on local ingredients with the aim of showcasing som of italy’s favour traditional dishes whil at the sam tim supporting smallscal
730,founded different venu by an austrian soldier the lat 19c this historic venetian restaurant is now run by owner mauriz who oversees the front of hous courteous yet friendly
1719,housed beautiful 18c palazz gigl was founded 1979 and is now run by thre young men who took over just few years ago thes thre friends form real team who hav together to
724,althoug the nam of this restaurant may conjur up images of the caribbean sea and its beaches tortug is actually located on the squar overlooking the harbour right the centr of
6,when you arriv the upper part of lonig and park near the priv vill that is hom to pec you know that you’v arrived at one of italy’s great finedining restaurants wher the
863,the openview kitchen is the first thing guests see when they arriv at this delightful restaurant boasting views of ancient rom from the colosseum to the dom of st peter’s – truly memorabl
29,modern welcoming restaurant whos mott “tradition innovation” perfectly sums up its cuisin on the à cart and tasting menus alik you’ll find classic dishes including risott with peas
1686,this rustic yet charming restaurant occupies an old family mill it has attract guestrooms that reflect the elegant simplicity of the tuscan countrysid the kitchen the femal chef creates
1692,the young owner of this restaurant has an interesting background – former vet with passion for food he has opened one of the most fascinating restaurants florenc serving original dishes
877,small vill secluded position with warm homely atmosph especially the nic room with fireplac the rang of cuisin is rich tradition
15,on the lakefront facing the small port this modern simply styled restaurant has pleasant are for summer dining contemporary cuisin mad from carefully selected produc
687,situated amid gently rolling hills this restaurant with larg pictur windows boasts fin views of the surrounding countrysid whic can be enjoyed even mor from its summer terrac for many
1862,situated picturesqu dolced this restaurant occupies an early 20c mill compl with millston and press the cuisin focuses on an interesting selection of traditional ligurian dishes with
1876,situated the countrysid around alessandr this 18c farmhous has modern minimalist decor whic serves as backdrop for traditional piedmontes cuisin with clever modern twist the
693,althoug the view from this restaurant takes the sea and the mountains alik it’s the latter that inspires the menu it features inland specialities cooked with the best local ingredients
678,situated the foothills around lak maggior this colourful and welcoming restaurant has pleasantly relaxed ambienc the skilful chef creates cuisin inspired by the region as well as
1123,once you’v left your car the car park slight descent leads to this small corner of paradis boasting one of the most beautiful views of lak gard run by two brothers one the kitchen
1645,this small family run restaurant furnished warm pastel shades offers traditional setting whic to enjoy local cuisin the dishes served the younger mor informal enotec are even
1651,standing on the lak gard road this small simpl yet far from ordinary restaurant serves mediterranean dishes with the occasional invent twist two words of advic – opt for alfresc dining
1889,this tiny welcoming restaurant with bright simpl decor has long sinc of age having been opened and run by the sam family for years the wif supervises the front of hous whil the
1137,pasqual laer originally from pugl has by now been working for years piedmont and has learned the rules and codes of the regional cuisin broadening his horizons with
644,the oldest oster the town centr this restaurant has delighted locals and visitors two simpl yet convivial dining rooms sinc 1880 the cuisin her is regional with many dishes freshly
1679,beautiful stonevaulted building an old 17c monastery on the town’s seafront promenad young ownerchef alessandr feo has mad his mark this region that perhaps has fewer gourmet
122,situated the beautiful countrysid outsid cerret guid ps ristor is housed the magnificent medic vill petriol whic is also hom to 36 luxurious guestrooms the restaurant’s appeal
136,situated along the via francigen near monteriggion the small medieval villag of abbad isol boasts superb romanesqu churc and group of old buildings that once housed monastery and its
650,this restaurant may be small booking is recommended but it has big personality the focus her is on fish and seafood with nearly the dishes cooked at least partially over the barbecu
888,overlooking an internal garden this welcoming valtellinastyl stub restaurant decorated sweetscented cembr pinewood is the perfect setting whic to enjoy local specialities and
1484,you would never guess that ther was gourmet restaurant tucked away this commercial district on the outskirts of perug but everything changes once you’r insid the bright original dining
1490,situated secluded residential district that is part of l’aquila’s historic centr this intim restaurant with an elegantly minimalist ambienc is hom to skilful ownerchef simon
485,situated just stone’s throw from the lakefront this elegant restaurant boasts an attract englishstyl garden as well as beautiful outdoor pat and stylish dining room her talented
491,situated central viaregg near the town’s shipyards mam occupies long narrow spac that is reminiscent of oriental restaurants with its long benc running alongsid one wall and small
1447,just stone’s throw from the central and very busy cors ital this restaurant has an elegant alpin feel her subtl lighting soft background music and larc wood cladding on the walls
1321,situated within the san patrign community whic grows its own crops raises its own livestock and makes its own cheeses vit is now the setting for new talented chef giusepp biuso’s cuisin
1335,chef niccol palumb pastry chef gabriel palumb and maîtred’ lorenz catucc are the thre young dynamic entrepreneurs behind this attract restaurant just stone’s throw from the historic
308,ther are just few tables this excellent restaurant whic takes its nam from its owner chef it serves modern and occasionally creativ cuisin with strong links to typical regional
1453,this whit modern and minimalist style restaurant has lovely views of the tyrrhenian sea from its dining room and summer terrac not surprisingly fish and seafood tak prid of plac on the
320,having studied classics this young selftaught chef decided to follow his tru passion namely cooking he prepares dishes inspired by sicilian traditions yet reinterpreted with personal twist
446,an attract wellkept restaurant historic building with romantic rural feel especially the beautiful garden althoug the menu is not that extens the chef is highly skilled and
1309,this friendly mediterraneanstyl bistr started out 20 years ago as an inncum cicchetter type of venetian tapas bar it now offers 100 glutenfre recipes including few vegan options
452,this restaurant adjoining the daniel hotel is the town’s prid and joy her two quiet rusticstyl dining rooms provid the backdrop for typical parm specialities that chang with the passing
334,to get to this welcoming restaurant it’s best to leav the car one of the convenient car parks just outsid the town walls short walk from cherasco’s quiet picturesqu historic centr with
444,having opened this restaurant som ten years ago ownerchef fab draws on his experienc from working at various michelinstarred restaurants during his career using regional produc and
1479,the strictly regional ingredients used at this restaurant are sourced from local farmers and producers with just few exceptions such as sug truffles salt ric etc chef theodor falser is
322,this quiet and elegant bistr the grand hotel sitea’s second restaurant offers charming setting whic to enjoy skilfully prepared piedmonteseinfluenced cuisin the venu is also perfect
336,this small neighbourhood restaurant chef marin ravarott pays trib to som of sardinia’s iconic dishes such as filindeu – hom mad past very difficult to prep the excellent 4
450,originally from the ciociar region andre imper is the chef at the helm this gourmet restaurant situated within the elegant borgobruf hotel her he creates dishes influenced by the
478,having spent many years living spain the young chef at this quiet elegant restaurant offers an appealing combination of spanish and italian dishes resulting his own interesting
1323,various small dining rooms including one directly abov the kitchen very popul desp the heat the food is regional with an emphasis on fish and seafood and the menu includes som
1445,situated at an altitud of 2 000m the plan de corones ski are this restaurant stands next to lumen museum dedicated to mountain photography to get her you tak the cablec from
1451,tru gourmet agritur colmett changes its menu almost week by week lin with the changing seasons full of flavour the ingredients her many of whic are produced on the property
1337,situated oppos the vill real this restaurant has the sam classic vaguely british ambienc as the hotel de vill whic it is situated with tables also laid out on its elegant
487,to get to the dining room at this restaurant you walk past the kitchen wher its stoves are lit and its chefs hard at work this is the sort of restaurant that you’d lov to hav as your local
493,fiv senses will be satisfied by visit to the gourmet restaurant of the hotel residenc housed splendid 18c palazz just few metres from the famous cathedral the restaurant boasts
1486,housed delightful 19c hous facing the navigl brent this restaurant has been fully renovated to offer welcoming spac whic fish and seafood reign suprem prepared wherever
1492,situated slightly on the outskirts this contemporarystyl restaurant occupies the unusual setting of an old factory her pictur windows the dining room overlook the stream below with the
120,business for over 50 years this longestablished centrally located restaurant has changed its look over the years and is now modern bistr with an attract outdoor summer spac
646,this old acquaintanc of the michelin guid now has new chef at the helm althoug the decor and furnishings remain the sam with slightly oldfashioned feel the cuisin is modern yet with no
1109,situated rural setting surrounded by ric fields outsid milan this restaurant specialises homemad past and breads vegetables grown its own garden and piedmontes meat cooked
652,at this restaurant an americanstyl barbecu garden summer and smart rustic dining room provid the backdrop for carefully prepared local cuisin with personalised gourmet twist such
134,after period working paris michelin gioi nativ of campan with weakness for tuscany has returned to italy to work with the sci family wher he demonstrates new focus on “less
1647,it’s now forty years sinc the madonnin opened 1984 yet chef moren cedron has not lost the creativ touc that has resulted him becoming one of the most influential chefs of his
1121,dolomieu is an intim stubestyl restaurant furnished oak whic features just six tables so booking well advanc is recommended this is the most traditional part of the dv chalet hotel
1135,this lively and very busy trattor run by the energetic elis owes its success to winning combination of traditional dishes the fresh handmad past also sold the shop next door is
108,at certain times of day the tempting arom of freshly baked bread greets you as soon as you step into this restaurant leaving you no doubt as to the natur of the restaurant’s newest ventur
1653,just few years young ownerchef giusepp costantin has turned what was once the family trattor into an elegant restaurant serving delicious reinterpretations of local specialities ther
1860,an elegant restaurant within sirenus one of the most prestigious and glamorous hotels on the amalf coast with an attract outdoor terrac for summer dining with views of positano’s
685,once an old inn this familyrun restaurant now occupies two floors with the win bar on the ground floor and the dining rooms abov inspired by traditional cuisin the dishes her are
17,overlooking delightful quiet littl squar this romantic welcoming restaurant serves traditional local specialities often with an individual flavour the menu includes som fish dishes
691,this restaurant run by luc trabalzin and his partner rossell is real gem the small town of fas the story whic began austral adds fascinating touc to this gastronomic
849,certain amount of patienc is needed to get to this restaurant accessed via dusty yet attract dirt track that wends its way throug typical tuscan landscapes on arrival you’ll find an
1874,facing matera’s picturesqu cav churches one of the most charming parts of the old town this restaurant is housed complex of old caves desp being inspired by local traditions the
1684,leaving the traffic behind you enter the beautifully tended gardens of this 18c vill reminder of the splendour of the “golden mile” and its luxurious residences this golden age is now
861,desp being an island sardinia’s traditional cuisin tends to focus on meat dishes and you’ll find som of its bestknown specialities served at this restaurant with its simpl dining rooms
875,contemporarystyl restaurant with an openview kitchen wher two different styles of cuisin can be enjoyed creativ tapas influenced by different traditions or mor classic local dishes
1690,the ideal starting point for an exploration of the are summer one dines on the terrac located the heart of the historic centr whil drinks and cigars may be enjoyed the loung bar
1848,situated the heart of the historic centr just stone’s throw from piombino’s former medic fortress this quiet restaurant boasts backdrop of exposed stonework and vaulted ceilings and just
732,the experienc london as well as restaurants around the world is evident the pleasant yet somewhat unexpected international atmosph created by this husbandandwif team using
1069,situated within the clitunn hotel this wellmanaged familyrun restaurant serves classic seasonal meat and fish dishes including generous portions of black truffles som dishes recently
4,young chef of undoubted talent is at the helm of this restaurant situated behind the busier mor touristfrequented streets of trastev the chef question is anton zianton henc the
726,closed for refurbishment juneaugust 2024quart has mad its mark on the gastronomic map of italy thanks to mariann vitale’s cuisin and the trib she pays to southern italian produc
1733,this restaurant occupies an attract alpin hous outsid the town centr on the road to the falzareg pass and at the foot of the tofan mountains her the chef shows himself to be completely
1055,it was friendship and passion for japanes cuisin that prompted two young business partners to open this quiet welcoming restaurant the heart of bologn situated courtyard with medieval
1041,althoug this restaurant is slightly set back from the seafront the high quality cuisin focusing on the flavours of the salent makes the short walk well worthwhil classic ambienc with
1727,housed on the first floor of an old silkworm factory with contemporarystyl dining room that opens out on to beautiful terrac fin weather this restaurant is one of the few the
1914,situated within the fondac tedesc once type of stock exchang wher merchants from northern europ traded with the venetian counterparts and now luxury shopping centr for thos
929,situated on the edge of old milan this former bakery has been converted into tiny restaurant serving vegetarian cuisin contemporarystyl setting the two tasting menus includ delicious
1900,founded 1952 this inn has been run by the sam family – and especially its femal members – ever sinc it now boasts the presenc of chef whos many years of experienc are evident his
1928,at antic mur savour contemporary cuisin that takes its inspiration and ingredients from both the land and sea as well as the passing seasons situated behind the historic centr the
915,situated the heart of the city this delightfully intim restaurant offers number of different dining rooms from ‘gallery of portraits’ to the britishstyl library rooms and the ‘
1096,this milanes restaurant with young talented chef at the helm boasts breakfast are as well as lunchtim bistr and evening win bar the atmosph the dining room is lively and modern
901,not far from the duom this historic restaurant takes its nam from the mulberry tre morer local dialect that once stood front of the building elegant simpl decor the dining room
1082,you cross small gardencumol grov to get to this romantic and elegant restaurant situated on the enchanting isol ros priv island accessibl only by boat overseen by chef
530,situated sid street the centr of this charming small town this restaurant boasts dining room with exposed brickwork and glimpses of the kitchen plus small outdoor spac with few
256,situated small country hamlet this restaurant is run by chef from pugl whos origins can be glimpsed her and ther his dishes the influenc of the venet wher the chef has been
242,housed 18c vill whic was once family inn this restaurant is run by the dynamic and professional fros family who hav over 30 years’ experienc the restaurant business there’s
1519,this finedining restaurant housed the 18c palazz bentivogl bargellin is part of the luxurious palazz varignan resort with whic it shares the grifon symbol the latter also hom
524,menu whic focuses only on fish from the daily market whic is prepared with hint of pugl the chef’s nativ region as soon as guests are seated at the tabl they are brought
1257,desp its location the town centr the attract outdoor terrac of this restaurant offers peaceful atmosph with its decor of light drapes the red coloured dining room makes
1531,botteg luc serves cuisin whic is mainly italian style with the addition of few specialities from the iberian peninsul and other countries homemad past meat and fish can be
1525,situated behind the guggenheim museum this rustic restaurant with wood panelling on the walls offers meatbased menu that focuses on traditional regional cuisin the braised rack of lamb with
1243,the chef’s amalf origins reemerg great style this restaurant at the gates of bergam with chiefly seafood cuisin of great quality from raw seafood to spaghett with sea urchins and
518,delicious cuisin from pugl including excellent orecchiett past with clams and chickpeas served delightful ambienc with number of different rooms and internal patios the sam
295,welcoming restaurant with rustic feel the owner chef delights guests with his traditional yet imagin delicacies such as pic past with pachin cherry tomatoes garlic and chill
281,quiet restaurant with relaxed young and modern feel serving contemporary cuisin prepared from seasonal regional products charming romantic outdoor are with soft lighting
1294,tucked away an unexpected location residential district this restaurant is nonetheless popul with its loyal and regul clientel and the reason is obvious – the high quality of the
1280,opened by thre brothers augur is the family nam this restaurant the city centr successfully combines the traditional and the modern both its cuisin and its decor the dining room
1281,this restaurant is housed the salon colomb the nam comes from the fresc of doves on the ceiling of vill whic dates back to the 16c althoug its present appearanc dates mainly
1295,simpl premises with two larg windows overlooking its kitchens it serves imagin dishes wher tradition and creativity becom one informal servic
280,one of the most interesting restaurants cagliar terms of valu for money with choic of classic attabl seating or the mor informal convivial option of sitting at the counter when it
294,this small welcoming restaurant on the famous scalin costarell numan with tiny terrac for summer dining and just few tables serves delicious cuisin with an imagin twist
1524,situated just outsid amalf with the elegant mediterranean landscapes of the amalf coast as backdrop this finedining restaurant at the beautiful sant caterin hotel is perched abov the sea
519,the menu at this restaurant features traditional dishes from campan with updated twists som of whic such as the “sigilinium” bread even dat back to ancient roman times the cuisin whic
1242,the ceiling at this restaurant is adorned with superb frescoes thought to be by the school of the carracc brothers whos painters wer definitely responsibl for decorating other rooms this
1256,osmos is part of the fattor sveton hotel with beautiful guestrooms housed historic vill overlooking vineyards open countrysid and whic also boasts winery dating back to 1865
1530,situated the lively heart of palerm between the vuccir and the small cal port this restaurant boasts modern design and bold colours whic are the mor striking for the charming old
1518,now under new management this historic restaurant the centr of bolz occupies the ground floor of the attract palazz pock overlooking the squar her elegant contemporarystyl
