term,term_id
hous,0
wine,1
cellar,2
histor,3
palazzo,4
restaur,5
success,6
combin,7
tradit,8
modern,9
cuisin,10
focus,11
fish,12
seafood,13
special,14
molis,15
region,16
meat,17
dish,18
menu,19
situat,20
heart,21
porta,22
nuova,23
district,24
milan,25
area,26
like,27
peopl,28
use,29
word,30
old,31
advertis,32
slogan,33
occupi,34
first,35
floor,36
torr,37
solaria,38
take,39
seat,40
dine,41
room,42
full,43
charm,44
stone,45
wood,46
glass,47
creat,48
warm,49
eleg,50
designerstyl,51
ambienc,52
chef,53
takeshi,54
iwai,55
hard,56
defin,57
italian,58
japanes,59
flavour,60
fusionstyl,61
embrac,62
influenc,63
countri,64
best,65
option,66
savour,67
differ,68
serv,69
tast,70
iyo,71
omakas,72
sushi,73
bar,74
within,75
share,76
entranc,77
aalto,78
although,79
two,80
space,81
kept,82
separ,83
food,84
prepar,85
master,86
masashi,87
suzuki,88
small,89
center,90
town,91
coupl,92
comprehens,93
manag,94
experi,95
oper,96
well,97
maintain,98
modest,99
offer,100
eclect,101
centr,102
overlook,103
monument,104
piazza,105
san,106
giustino,107
feel,108
keep,109
locat,110
enhanc,111
typic,112
brick,113
wall,114
arrang,115
contrast,116
predominantli,117
meatbas,118
contemporari,119
style,120
interest,121
technic,122
creativ,123
twist,124
smart,125
classic,126
expo,127
fiera,128
far,129
citi,130
ever,131
sinc,132
open,133
1982,134
reliabl,135
choic,136
topqual,137
also,138
featur,139
techniqu,140
recip,141
highlight,142
includ,143
tuna,144
amberjack,145
carpaccio,146
salad,147
grill,148
cook,149
ligurian,150
potato,151
taggiasch,152
oliv,153
soup,154
crouton,155
boast,156
adorn,157
wooden,158
ceil,159
redecor,160
year,161
ago,162
evoc,163
photo,164
document,165
depict,166
histori,167
homemad,168
pasta,169
boil,170
trolley,171
carrello,172
dei,173
bolliti,174
excel,175
rabbit,176
stew,177
gener,178
portion,179
pepper,180
select,181
delici,182
homeproduc,183
fare,184
veget,185
preserv,186
pastri,187
maze,188
alleyway,189
make,190
cegli,191
tabl,192
atmospher,193
inner,194
courtyard,195
long,196
famou,197
must,198
anyon,199
keen,200
tri,201
puglian,202
lamb,203
roast,204
particularli,205
list,206
label,207
minimalist,208
mediev,209
giovanni,210
tower,211
picturesqu,212
pedestrianis,213
noli,214
ownerchef,215
echo,216
decor,217
alik,218
almost,219
exclus,220
ingredi,221
purpl,222
sanremo,223
prawn,224
tartar,225
celeri,226
mayonnais,227
lemon,228
cream,229
plankton,230
chip,231
juic,232
albenga,233
artichok,234
name,235
villag,236
former,237
postman,238
import,239
charismat,240
charact,241
commun,242
worker,243
club,244
rustic,245
beauti,246
porch,247
sit,248
summer,249
beneath,250
cool,251
fan,252
step,253
away,254
local,255
yet,256
never,257
overli,258
fanci,259
alway,260
present,261
enjoy,262
mezz,263
manich,264
white,265
onion,266
sour,267
butter,268
burnt,269
leg,270
guinea,271
fowl,272
brown,273
paprika,274
horseradish,275
choos,276
might,277
ask,278
owner,279
danilo,280
recommend,281
extens,282
certainli,283
care,284
chosen,285
delight,286
19c,287
face,288
naviglio,289
del,290
brenta,291
fulli,292
renov,293
welcom,294
reign,295
suprem,296
wherev,297
possibl,298
simpl,299
either,300
veneto,301
elsewher,302
itali,303
tommaso,304
arrigoni,305
wonder,306
new,307
floortoceil,308
window,309
spaciou,310
larg,311
mediterranean,312
garden,313
appeal,314
zeninspir,315
outdoor,316
previou,317
venu,318
colour,319
showcas,320
three,321
à,322
la,323
cart,324
dell,325
allow,326
guest,327
sampl,328
sever,329
enter,330
stop,331
moment,332
admir,333
crystalclear,334
water,335
santa,336
susanna,337
canal,338
run,339
opposit,340
build,341
trota,342
revolutionis,343
rais,344
standard,345
freshwat,346
elev,347
level,348
produc,349
consid,350
refin,351
serva,352
brother,353
abli,354
assist,355
respect,356
children,357
trout,358
tench,359
crayfish,360
pike,361
catfish,362
sourc,363
clean,364
nearbi,365
alongsid,366
good,367
wild,368
herb,369
given,370
extract,371
home,372
herbal,373
tea,374
drink,375
there,376
accompani,377
meal,378
plu,379
surpris,380
cognac,381
liqueur,382
fine,383
weather,384
bridg,385
span,386
celebr,387
60th,388
anniversari,389
2023,390
restuar,391
focu,392
agnolotti,393
type,394
stuf,395
fondu,396
piedmontes,397
beef,398
villanova,399
chicken,400
inevit,401
bunet,402
dessert,403
narrow,404
street,405
stylish,406
renown,407
simpler,408
moder,409
price,410
avail,411
lunchtim,412
strictli,413
farmer,414
except,415
sugar,416
truffl,417
salt,418
rice,419
etc,420
theodor,421
falser,422
purist,423
plenti,424
concern,425
admit,426
weak,427
ferment,428
method,429
afield,430
fortun,431
born,432
mountain,433
lucki,434
enough,435
stubestyl,436
built,437
vintag,438
jewel,439
engel,440
hotel,441
crown,442
alto,443
adig,444
fairytal,445
set,446
properti,447
resembl,448
castl,449
fact,450
custom,451
po,452
river,453
14c,454
famili,455
ancestor,456
farm,457
massimo,458
spigaroli,459
own,460
everyth,461
guestroom,462
hosteria,463
maial,464
bistro,465
event,466
busi,467
meet,468
allround,469
visit,470
unmiss,471
museo,472
culatello,473
gastrofluvi,474
root,475
ravioli,476
bladder,477
french,478
nero,479
suckl,480
pig,481
crispi,482
rind,483
green,484
shoot,485
ontrend,486
vegetarian,487
chateaubriand,488
spring,489
jelli,490
punt,491
e,492
me,493
luna,494
park,495
give,496
free,497
rein,498
