term,term_id
situat,0
small,1
countri,2
hamlet,3
restaur,4
run,5
chef,6
puglia,7
whose,8
origin,9
glimps,10
dish,11
influenc,12
veneto,13
work,14
time,15
also,16
evid,17
local,18
appear,19
alongsid,20
creativ,21
option,22
menu,23
one,24
liveliest,25
workingclass,26
neighbourhood,27
napl,28
serv,29
tradit,30
neapolitan,31
pizza,32
includ,33
unusu,34
innov,35
shape,36
8point,37
star,38
busi,39
sinc,40
1938,41
third,42
gener,43
famili,44
da,45
attilio,46
tabl,47
arrang,48
two,49
dine,50
room,51
doesnt,52
take,53
reserv,54
although,55
may,56
wait,57
busiest,58
day,59
youll,60
find,61
well,62
worthwhil,63
heart,64
etruscan,65
resort,66
close,67
synagogu,68
tuscan,69
stock,70
wine,71
cellar,72
hewn,73
rock,74
locat,75
stone,76
throw,77
hous,78
thought,79
belong,80
christoph,81
columbu,82
boast,83
welcom,84
experienc,85
scala,86
season,87
region,88
cuisin,89
focu,90
fish,91
seafood,92
often,93
famou,94
genoves,95
cappon,96
magro,97
type,98
salad,99
featur,100
meat,101
beauti,102
present,103
light,104
contemporari,105
touch,106
good,107
list,108
mean,109
problem,110
suitabl,111
pair,112
meal,113
citi,114
fair,115
share,116
roofgarden,117
eateri,118
stand,119
popular,120
fine,121
panoram,122
view,123
castel,124
dellovo,125
capri,126
sorrentin,127
peninsula,128
vesuviu,129
cours,130
sea,131
emanuel,132
petrosino,133
showcas,134
best,135
tast,136
suit,137
531,138
dedic,139
legendari,140
tenor,141
enrico,142
caruso,143
nel,144
blu,145
per,146
mano,147
modo,148
mio,149
your,150
choos,151
à,152
la,153
cart,154
highli,155
recommend,156
potato,157
gnocchi,158
urchin,159
flavour,160
amalfi,161
lemon,162
caper,163
whatev,164
campania,165
produc,166
centr,167
stage,168
along,169
profession,170
attent,171
servic,172
bay,173
metr,174
lake,175
villag,176
longestablish,177
transform,178
veranda,179
outdoor,180
summer,181
portion,182
restuar,183
label,184
excel,185
select,186
special,187
agnolotti,188
stuf,189
pasta,190
fondu,191
