restaurantName,address,description,website,custom_score
RistoFante,via Mazzini 41,"The motto of this restaurant is “In step with the times yet inspired by tradition”. The cuisine here is made from fresh, seasonal ingredients (with a particular focus on fish) prepared using modern techniques. Elegant dining room, plus a shaded outdoor space for the summer months.",https://www.ristofante.it/,0.45
Retrobottega,via della Stelletta 4,"Minimalist decor and clean lines characterise this restaurant decorated in dark tones, where the two owner-chefs have both worked in various Michelin-starred restaurants (and others) over the years. Modern cuisine which showcases seasonal ingredients in regional yet refined dishes.",https://www.retro-bottega.com,0.45
Materia | Spazio Cucina,via Teatro Massimo 29,"The entrance to this restaurant is typical of an old residential-style building, giving the impression that you are stepping into the chef’s own home. Here, the beautiful dining room boasts shared tables and an entire wall covered with shelves of jars containing dried fruit, pumpkin seeds and red lentils. The classic-style cuisine focuses on grilled dishes and modern cooking methods to create typical Sicilian meat and fish dishes that pay careful attention to the seasons. The first courses are excellent, including the spaghetti with butter and anchovies, which is served with Favignana tuna bottarga and muddica atturrata(spiced breadcrumbs) made from Perciasacchi flour.",https://www.materiaspaziocucina.it/,0.45
Ca' Del Moro,località Erbin 31,"Situated within the La Collina dei Ciliegi wine estate amid the verdant Valpantena hills, this first-floor restaurant (lift available) is home to two chefs – he is from Calabria, while she is from Puglia. Together they create exciting, modern Mediterranean cuisine using ingredients from their native regions, including their signature dish – homemade spaghetti served with a delicious, well-balanced 'nduja, smoked ricotta and tomato ristretto sauce. Top-quality local ingredients take pride of place, as demonstrated by the Brogna mutton, which is raised on site, barbecued and served with an exquisite caper sauce and seasonal mushroom pie. The concise wine list features labels from the Veneto alongside a few French options.",https://www.cadelmoro.wine/it,0.45
Pipero Roma,corso Vittorio Emanuele II 250,"Situated opposite the church of Santa Maria in Vallicella (known to locals as Chiesa Nuova or new church), this restaurant is named after its owner and maître-d’ Alessandro Pipero. Young chef Ciro Scamardella from Campania is at the helm in the kitchen, where he prepares modern dishes with a focus on the seasons, including a few specialities from his native region. His cuisine demonstrates a continuous search for balance and colour – the recipe that particularly impressed our inspectors was his reinterpretation of mussel soup, in which the full flavour of the sea shone through. A second dining room on the first floor, decorated in the same refurbished style, is available for small groups and private dinners.",https://www.piperoroma.it/,0.45
Osteria Ophis,corso Serpente Aureo 54/b,"Situated in the beautiful historic centre of Offida, this restaurant with a brick-vaulted ceiling is housed in the former stables of an old palazzo with a modern, inviting decor. Near the entrance, a small window offers a glimpse of the kitchen. The regional cuisine is reinterpreted with individual flair by the chef, showcased on an à la carte that changes regularly (including truffles in season) and two excellent tasting menus.",https://www.osteriaophis.com/,0.45
Radimare,via Beato Piergiorgio Frassati 5/a,"There’s no tasting menu at this restaurant but instead a tempting à la carte featuring modern Mediterranean cuisine based on top-quality seasonal ingredients, with fish and seafood taking centre stage. Citrus fruit and a few spices, especially ginger, are used carefully and sparingly, as are aromatic herbs which add a touch of fresh flavour to the dishes. The contemporary decor, enhanced by plants and a profusion of wood, plus friendly service add to the appeal.",http://www.radimare.com,0.45
La Valle,"via Umberto I 25, località Valle Sauglio","A well - run restaurant in a quiet area just outside the village, where the owner - chef serves modern cuisine with the occasional regional influence. Careful attention is given to the use of seasonal produce and natural herbs, and there is a small selection of fish - based dishes.",https://www.ristorantelavalle.it/,0.45
Cappuccini Cucina San Francesco,via Cappuccini 54,"Housed in the resort of the same name, this elegant restaurant is full of historic charm, enhanced by its white damask linen and beautiful candlesticks. The wine list pays obvious tribute to the famous Franciacorta region and also includes an excellent choice of champagnes, while the modern cuisine shows touches of traditional influence alongside more creative twists. Seasonal ingredients are to the fore here.",https://www.cappuccini.it/,0.45
San Michele,via Castello di Fagagna 33,"Situated next to the ruins of the old castle and the small church of San Michele, this 13C building, thought to have once housed a guardroom, is now home to a small restaurant serving regional, seasonal cuisine with a modern twist. During the week, the restaurant offers a lunchtime menu of top-quality snacks (the Venetian “cicchetti”), as well as a few “primi” and desserts.",http://sanmichele.restaurant,0.45
